Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%    75%  97.5%  Rhat n.eff
mu.ph[9,2]           0.183   0.369  -0.544  -0.062   0.184  0.423  0.904 1.001  4000
mu.ph[10,2]         -0.446   0.421  -1.296  -0.707  -0.437 -0.180  0.369 1.001  4000
mu.ph[11,2]         -0.407   0.366  -1.124  -0.642  -0.409 -0.167  0.320 1.001  4000
mu.ph[12,2]         -0.709   0.396  -1.483  -0.964  -0.711 -0.453  0.083 1.001  3300
mu.ph[13,2]         -0.724   0.390  -1.484  -0.979  -0.722 -0.475  0.053 1.003  1100
mu.ph[14,2]          0.815   0.397   0.006   0.569   0.826  1.074  1.592 1.001  4000
mu.ph[15,2]          0.745   0.419  -0.116   0.479   0.750  1.024  1.555 1.001  4000
mu.ph[16,2]          0.055   0.395  -0.723  -0.206   0.047  0.318  0.830 1.002  1700
mu.ph[17,2]         -0.185   0.407  -0.989  -0.450  -0.192  0.083  0.603 1.003  1300
mu.ph[18,2]          0.594   0.477  -0.360   0.284   0.590  0.894  1.567 1.002  2700
mu.ph[19,2]          0.050   0.445  -0.828  -0.235   0.048  0.344  0.907 1.002  1700
mu.ph[20,2]         -0.156   0.380  -0.900  -0.402  -0.155  0.099  0.590 1.001  4000
mu.ph[21,2]         -0.644   0.480  -1.576  -0.964  -0.642 -0.343  0.316 1.001  4000
mu.ph[1,3]          -0.456   0.591  -1.576  -0.847  -0.473 -0.088  0.772 1.001  4000
mu.ph[2,3]          -1.206   0.608  -2.354  -1.601  -1.230 -0.810  0.050 1.000  4000
mu.ph[3,3]           0.431   0.651  -0.897   0.001   0.451  0.864  1.662 1.001  3800
mu.ph[4,3]           0.252   0.574  -0.933  -0.107   0.237  0.617  1.401 1.001  4000
mu.ph[5,3]          -0.461   0.506  -1.455  -0.789  -0.454 -0.133  0.548 1.000  4000
mu.ph[6,3]          -0.963   0.543  -2.036  -1.312  -0.965 -0.610  0.120 1.002  2000
mu.ph[7,3]          -0.445   0.667  -1.743  -0.874  -0.449 -0.035  0.958 1.001  4000
mu.ph[8,3]           1.991   0.519   0.936   1.665   2.007  2.328  2.979 1.001  4000
mu.ph[9,3]           1.784   0.529   0.734   1.447   1.785  2.137  2.781 1.001  4000
mu.ph[10,3]          0.451   0.556  -0.679   0.113   0.463  0.802  1.517 1.001  3700
mu.ph[11,3]          0.521   0.491  -0.482   0.214   0.531  0.841  1.475 1.002  2000
mu.ph[12,3]          1.086   0.562  -0.085   0.739   1.097  1.451  2.153 1.001  4000
mu.ph[13,3]          0.304   0.557  -0.861  -0.046   0.312  0.670  1.385 1.001  4000
mu.ph[14,3]         -0.727   0.535  -1.812  -1.058  -0.714 -0.396  0.346 1.001  4000
mu.ph[15,3]         -0.556   0.566  -1.707  -0.905  -0.538 -0.211  0.548 1.001  4000
mu.ph[16,3]         -0.849   0.610  -1.978  -1.262  -0.874 -0.476  0.431 1.001  4000
mu.ph[17,3]         -0.961   0.571  -2.048  -1.341  -0.977 -0.609  0.227 1.001  4000
mu.ph[18,3]          1.025   0.653  -0.298   0.623   1.032  1.439  2.292 1.001  3900
mu.ph[19,3]          1.430   0.584   0.280   1.054   1.449  1.809  2.559 1.001  3400
mu.ph[20,3]          1.270   0.535   0.172   0.922   1.272  1.616  2.313 1.001  4000
mu.ph[21,3]          1.064   0.635  -0.210   0.671   1.056  1.477  2.312 1.001  4000
mu.photo[1]          0.051   0.420  -0.780  -0.225   0.055  0.331  0.868 1.001  4000
mu.photo[2]         -1.806   0.662  -3.121  -2.234  -1.813 -1.374 -0.494 1.001  4000
mu.photo[3]          0.087   0.464  -0.844  -0.222   0.087  0.387  0.982 1.001  4000
mu.photo[4]         -0.235   0.395  -1.014  -0.503  -0.235  0.017  0.552 1.001  4000
mu.photo[5]         -0.701   0.313  -1.317  -0.901  -0.703 -0.500 -0.070 1.001  3100
mu.photo[6]         -1.089   0.367  -1.820  -1.327  -1.088 -0.852 -0.355 1.002  2000
mu.photo[7]         -0.798   0.387  -1.560  -1.047  -0.793 -0.547 -0.039 1.001  4000
mu.photo[8]          0.718   0.320   0.077   0.512   0.715  0.930  1.362 1.001  4000
