Path analysis results at De Hoop 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.ph[19,3]            0.181   0.384 -0.540 -0.081  0.177  0.426  0.963 1.001  4000
mu.ph[20,3]           -1.093   0.355 -1.786 -1.329 -1.095 -0.868 -0.366 1.001  3200
mu.ph[21,3]           -0.469   0.332 -1.108 -0.695 -0.472 -0.256  0.222 1.001  4000
mu.ph[22,3]           -0.868   0.343 -1.534 -1.087 -0.877 -0.652 -0.186 1.001  2800
mu.ph[23,3]           -1.269   0.344 -1.941 -1.487 -1.263 -1.043 -0.601 1.001  4000
mu.ph[24,3]           -0.963   0.347 -1.665 -1.187 -0.959 -0.735 -0.291 1.001  4000
mu.ph[25,3]           -0.549   0.340 -1.184 -0.773 -0.560 -0.329  0.133 1.002  1800
mu.ph[26,3]           -1.161   0.341 -1.792 -1.388 -1.176 -0.945 -0.431 1.003  1400
mu.photo[1]            0.431   0.195  0.046  0.301  0.432  0.561  0.813 1.001  4000
mu.photo[2]           -0.267   0.120 -0.505 -0.347 -0.266 -0.187 -0.031 1.001  4000
mu.photo[3]            1.140   0.182  0.788  1.016  1.140  1.262  1.497 1.001  3800
mu.photo[4]            1.844   0.238  1.390  1.685  1.841  2.004  2.319 1.001  4000
mu.photo[5]            1.088   0.199  0.692  0.961  1.087  1.218  1.493 1.002  2200
mu.photo[6]            0.627   0.197  0.236  0.494  0.631  0.755  1.015 1.002  2600
mu.photo[7]            0.356   0.227 -0.099  0.206  0.356  0.507  0.801 1.001  4000
mu.photo[8]            0.375   0.178  0.032  0.254  0.374  0.493  0.723 1.001  4000
mu.photo[9]            0.796   0.168  0.471  0.682  0.797  0.907  1.136 1.001  3800
mu.photo[10]           0.364   0.182  0.014  0.242  0.362  0.481  0.734 1.001  3600
mu.photo[11]          -0.715   0.287 -1.281 -0.903 -0.718 -0.528 -0.152 1.001  3300
mu.photo[12]          -0.573   0.196 -0.962 -0.703 -0.573 -0.441 -0.192 1.001  4000
mu.photo[13]           1.793   0.231  1.353  1.638  1.791  1.949  2.249 1.001  4000
