Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.ph[22,4]           -0.856   0.326  -1.507 -1.074 -0.865 -0.647 -0.187 1.001  4000
mu.ph[23,4]           -1.289   0.340  -1.974 -1.502 -1.290 -1.068 -0.621 1.001  4000
mu.ph[24,4]           -0.943   0.342  -1.625 -1.160 -0.939 -0.723 -0.277 1.001  3600
mu.ph[25,4]           -0.488   0.332  -1.118 -0.709 -0.508 -0.285  0.200 1.001  4000
mu.ph[26,4]           -1.121   0.327  -1.729 -1.338 -1.134 -0.916 -0.434 1.001  4000
mu.photo[1]           -0.152   0.275  -0.698 -0.335 -0.150  0.028  0.389 1.001  4000
mu.photo[2]           -0.804   0.213  -1.227 -0.941 -0.805 -0.671 -0.389 1.001  4000
mu.photo[3]            1.235   0.214   0.815  1.093  1.235  1.374  1.671 1.002  2100
mu.photo[4]            1.751   0.226   1.299  1.601  1.751  1.901  2.200 1.001  4000
mu.photo[5]            0.673   0.236   0.220  0.512  0.677  0.834  1.138 1.001  3400
mu.photo[6]            0.371   0.208  -0.024  0.228  0.371  0.507  0.778 1.002  2500
mu.photo[7]            0.571   0.258   0.043  0.403  0.575  0.737  1.063 1.001  4000
mu.photo[8]            0.562   0.217   0.136  0.418  0.569  0.704  0.995 1.001  3300
mu.photo[9]            1.203   0.231   0.763  1.048  1.199  1.362  1.669 1.001  4000
mu.photo[10]           0.821   0.269   0.311  0.639  0.816  1.001  1.347 1.001  4000
mu.photo[11]          -0.703   0.277  -1.233 -0.884 -0.704 -0.518 -0.150 1.001  3900
mu.photo[12]          -0.881   0.235  -1.351 -1.028 -0.882 -0.728 -0.425 1.001  4000
mu.photo[13]           1.474   0.272   0.931  1.295  1.477  1.646  2.011 1.001  3600
mu.photo[14]           0.904   0.202   0.500  0.773  0.905  1.033  1.309 1.002  4000
mu.photo[15]          -0.891   0.275  -1.415 -1.073 -0.894 -0.714 -0.336 1.001  3400
mu.photo[16]          -2.317   0.350  -2.996 -2.554 -2.316 -2.091 -1.632 1.001  4000
mu.photo[17]           0.594   0.271   0.062  0.417  0.595  0.774  1.126 1.001  3100
mu.photo[18]           1.336   0.252   0.836  1.170  1.338  1.503  1.822 1.001  3000
mu.photo[19]           0.127   0.313  -0.500 -0.075  0.131  0.334  0.747 1.001  4000
mu.photo[20]          -0.540   0.266  -1.077 -0.712 -0.535 -0.368 -0.016 1.001  4000
mu.photo[21]          -0.108   0.197  -0.499 -0.239 -0.107  0.017  0.290 1.002  1400
