Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
rho.lf[4,2]           -0.054   0.191 -0.425 -0.187 -0.057  0.077   0.320 1.001  4000
rho.lf[5,2]            0.214   0.179 -0.161  0.097  0.222  0.339   0.547 1.001  4000
rho.lf[1,3]           -0.415   0.156 -0.677 -0.528 -0.428 -0.315  -0.073 1.001  3800
rho.lf[2,3]            0.042   0.188 -0.332 -0.081  0.043  0.171   0.399 1.002  1900
rho.lf[3,3]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[4,3]           -0.109   0.184 -0.456 -0.234 -0.112  0.014   0.263 1.001  4000
rho.lf[5,3]           -0.174   0.182 -0.510 -0.304 -0.182 -0.050   0.196 1.000  4000
rho.lf[1,4]            0.236   0.178 -0.137  0.124  0.242  0.363   0.561 1.001  3700
rho.lf[2,4]           -0.054   0.191 -0.425 -0.187 -0.057  0.077   0.320 1.001  4000
rho.lf[3,4]           -0.109   0.184 -0.456 -0.234 -0.112  0.014   0.263 1.001  4000
rho.lf[4,4]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[5,4]            0.406   0.156  0.067  0.305  0.419  0.516   0.675 1.000  4000
rho.lf[1,5]            0.248   0.174 -0.110  0.134  0.258  0.369   0.568 1.001  4000
rho.lf[2,5]            0.214   0.179 -0.161  0.097  0.222  0.339   0.547 1.001  4000
rho.lf[3,5]           -0.174   0.182 -0.510 -0.304 -0.182 -0.050   0.196 1.000  4000
rho.lf[4,5]            0.406   0.156  0.067  0.305  0.419  0.516   0.675 1.000  4000
rho.lf[5,5]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[1,1]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[2,1]            0.235   0.251 -0.299  0.070  0.252  0.420   0.669 1.001  4000
rho.ph[3,1]            0.055   0.262 -0.466 -0.125  0.062  0.240   0.533 1.001  4000
